"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 28, 2020","2.64","2.62","2.67","2.60","6.91K","0.78%"
"Jan 27, 2020","2.62","2.58","2.67","2.57","5.83K","1.49%"
"Jan 26, 2020","2.58","2.46","2.58","2.44","2.51K","4.88%"
"Jan 25, 2020","2.46","2.50","2.50","2.42","3.25K","-1.61%"
"Jan 24, 2020","2.50","2.45","2.53","2.36","6.12K","1.93%"
"Jan 23, 2020","2.45","2.63","2.63","2.44","11.21K","-6.87%"
"Jan 22, 2020","2.63","2.67","2.69","2.63","6.03K","-1.50%"
"Jan 21, 2020","2.67","2.70","2.75","2.59","5.57K","-0.99%"
"Jan 20, 2020","2.70","2.61","2.74","2.54","17.49K","3.52%"
"Jan 19, 2020","2.61","2.76","2.85","2.55","20.61K","-5.73%"
"Jan 18, 2020","2.76","2.71","2.78","2.60","19.94K","1.93%"
"Jan 17, 2020","2.71","2.49","2.86","2.47","65.57K","8.95%"
"Jan 16, 2020","2.49","2.39","2.50","2.30","9.80K","4.11%"
"Jan 15, 2020","2.39","2.38","2.56","2.34","25.70K","0.31%"
"Jan 14, 2020","2.38","2.19","2.45","2.18","29.07K","8.68%"
"Jan 13, 2020","2.19","2.24","2.24","2.17","10.41K","-1.92%"
"Jan 12, 2020","2.24","2.27","2.32","2.22","6.64K","-1.64%"
"Jan 11, 2020","2.27","2.21","2.35","2.21","24.77K","3.07%"
"Jan 10, 2020","2.21","2.19","2.24","2.15","19.53K","0.63%"
"Jan 09, 2020","2.19","2.18","2.22","2.11","33.60K","0.40%"
"Jan 08, 2020","2.18","2.12","2.35","2.12","76.38K","2.95%"
"Jan 07, 2020","2.12","1.93","2.13","1.91","22.85K","9.72%"
"Jan 06, 2020","1.93","1.83","1.93","1.79","15.77K","5.75%"
"Jan 05, 2020","1.83","1.82","1.85","1.80","1.94K","0.39%"
"Jan 04, 2020","1.82","1.82","1.85","1.78","1.47K","0.00%"
"Jan 03, 2020","1.82","1.73","1.82","1.71","1.56K","5.44%"
"Jan 02, 2020","1.73","1.81","1.82","1.71","1.90K","-4.54%"
"Jan 01, 2020","1.81","1.75","1.83","1.75","1.56K","3.15%"
"Dec 31, 2019","1.75","1.81","1.81","1.75","2.39K","-3.21%"
"Dec 30, 2019","1.81","1.89","1.89","1.81","8.09K","-4.31%"
"Dec 29, 2019","1.89","1.88","1.91","1.84","8.49K","0.77%"
"Dec 28, 2019","1.88","1.87","1.90","1.86","5.16K","0.77%"
"Dec 27, 2019","1.87","1.90","1.92","1.84","10.14K","-2.02%"
"Dec 26, 2019","1.90","1.83","1.92","1.77","1.73K","4.18%"
"Dec 25, 2019","1.83","1.85","1.85","1.82","1.90K","-1.23%"
"Dec 24, 2019","1.85","1.85","1.86","1.82","3.28K","0.00%"
"Dec 23, 2019","1.85","1.90","1.95","1.85","13.86K","-2.64%"
"Dec 22, 2019","1.90","1.88","1.93","1.87","1.50K","1.23%"
"Dec 21, 2019","1.88","1.88","1.91","1.88","3.79K","0.00%"
"Dec 20, 2019","1.88","1.79","1.88","1.79","5.44K","4.75%"
"Dec 19, 2019","1.79","1.87","1.88","1.76","14.31K","-4.06%"
"Dec 18, 2019","1.87","1.75","1.88","1.62","7.32K","6.94%"
"Dec 17, 2019","1.75","1.97","1.98","1.73","9.73K","-11.40%"
"Dec 16, 2019","1.97","2.09","2.09","1.96","2.14K","-5.82%"
"Dec 15, 2019","2.09","2.00","2.10","1.96","13.89K","3.80%"
"Dec 14, 2019","2.02","2.06","2.08","1.98","11.21K","-2.05%"
"Dec 13, 2019","2.06","2.13","2.13","2.06","13.81K","-3.34%"
"Dec 12, 2019","2.13","2.17","2.17","2.03","3.66K","-1.92%"
"Dec 11, 2019","2.17","2.25","2.30","2.14","17.19K","-3.65%"
"Dec 10, 2019","2.25","2.03","2.27","2.03","84.35K","11.03%"
"Dec 09, 2019","2.03","2.05","2.06","2.03","2.77K","-0.87%"
"Dec 08, 2019","2.05","2.04","2.06","2.00","1.51K","0.40%"
"Dec 07, 2019","2.04","2.08","2.11","2.04","6.86K","-2.08%"
"Dec 06, 2019","2.08","2.02","2.10","1.98","1.81K","3.06%"
"Dec 05, 2019","2.02","2.02","2.05","1.97","26.09K","0.00%"
"Dec 04, 2019","2.02","2.15","2.15","2.01","4.36K","-6.41%"
"Dec 03, 2019","2.15","2.10","2.20","2.06","4.14K","2.46%"
"Dec 02, 2019","2.10","2.18","2.18","2.06","4.82K","-3.32%"
"Dec 01, 2019","2.18","2.22","2.22","2.13","4.25K","-2.02%"
"Nov 30, 2019","2.22","2.35","2.35","2.22","8.95K","-5.44%"
"Nov 29, 2019","2.35","2.26","2.36","2.26","19.84K","4.01%"
"Nov 28, 2019","2.26","2.23","2.30","2.17","6.81K","1.41%"
"Nov 27, 2019","2.23","2.25","2.27","2.11","12.99K","-0.94%"
"Nov 26, 2019","2.25","2.27","2.32","2.15","10.12K","-1.15%"
"Nov 25, 2019","2.27","2.21","2.41","2.03","21.25K","2.88%"
"Nov 24, 2019","2.21","2.43","2.43","2.21","5.77K","-9.06%"
"Nov 23, 2019","2.43","2.33","2.45","2.26","1.24K","4.29%"
"Nov 22, 2019","2.33","2.56","2.60","2.14","20.59K","-8.94%"
"Nov 21, 2019","2.56","2.70","2.70","2.48","12.50K","-5.24%"
"Nov 20, 2019","2.70","2.72","2.79","2.66","2.06K","-0.76%"
"Nov 19, 2019","2.72","2.79","2.79","2.59","10.94K","-2.62%"
"Nov 18, 2019","2.79","2.88","2.96","2.72","13.91K","-3.08%"
"Nov 17, 2019","2.88","2.97","2.98","2.86","27.39K","-2.81%"
"Nov 16, 2019","2.97","3.02","3.04","2.92","5.77K","-1.75%"
"Nov 15, 2019","3.02","3.04","3.08","2.79","38.51K","-0.56%"
"Nov 14, 2019","3.04","3.00","3.16","2.98","42.19K","1.16%"
"Nov 13, 2019","3.00","2.82","3.08","2.76","68.51K","6.42%"
"Nov 12, 2019","2.82","2.72","2.86","2.72","8.83K","3.65%"
"Nov 11, 2019","2.72","2.77","2.77","2.66","7.68K","-1.61%"
"Nov 10, 2019","2.77","2.79","2.83","2.72","21.22K","-0.86%"
"Nov 09, 2019","2.79","2.71","2.86","2.71","17.65K","2.75%"
"Nov 08, 2019","2.71","2.67","2.73","2.63","19.17K","1.50%"
"Nov 07, 2019","2.67","2.74","2.75","2.63","5.83K","-2.33%"
"Nov 06, 2019","2.74","2.69","2.80","2.64","7.19K","1.77%"
"Nov 05, 2019","2.69","2.68","2.69","2.63","1.96K","0.31%"
"Nov 04, 2019","2.68","2.67","2.74","2.62","3.21K","0.36%"
"Nov 03, 2019","2.67","2.70","2.70","2.63","2.34K","-0.87%"
"Nov 02, 2019","2.70","2.72","2.73","2.68","4.13K","-0.78%"
"Nov 01, 2019","2.72","2.72","2.80","2.65","11.28K","0.00%"
"Oct 31, 2019","2.72","2.61","2.74","2.55","9.64K","4.09%"
"Oct 30, 2019","2.61","2.65","2.66","2.54","8.70K","-1.65%"
"Oct 29, 2019","2.65","2.68","2.76","2.65","17.64K","-0.94%"
"Oct 28, 2019","2.68","2.67","2.91","2.66","32.14K","0.39%"
"Oct 27, 2019","2.67","2.75","2.75","2.65","35.83K","-2.89%"
"Oct 26, 2019","2.75","2.84","3.00","2.69","49.14K","-3.14%"
"Oct 25, 2019","2.84","2.71","2.98","2.62","30.64K","3.96%"
"Oct 24, 2019","2.73","2.61","2.76","2.59","38.67K","4.55%"
"Oct 23, 2019","2.61","2.59","2.68","2.40","23.37K","0.77%"
"Oct 22, 2019","2.59","2.62","2.80","2.57","20.57K","-1.28%"
"Oct 21, 2019","2.62","2.44","2.67","2.44","61.95K","7.43%"
"Oct 20, 2019","2.44","2.33","2.44","2.28","7.36K","4.69%"
"Oct 19, 2019","2.33","2.34","2.38","2.29","4.30K","-0.31%"
"Oct 18, 2019","2.34","2.40","2.49","2.33","11.81K","-2.70%"
"Oct 17, 2019","2.40","2.35","2.47","2.28","22.11K","2.45%"
"Oct 16, 2019","2.35","2.36","2.39","2.18","21.70K","-0.47%"
"Oct 15, 2019","2.36","2.52","2.59","2.33","27.34K","-6.25%"
"Oct 14, 2019","2.52","2.47","2.66","2.47","11.60K","1.90%"
"Oct 13, 2019","2.47","2.58","2.62","2.44","16.06K","-4.33%"
"Oct 12, 2019","2.58","2.72","2.73","2.57","14.88K","-5.12%"
"Oct 11, 2019","2.72","2.60","2.79","2.56","28.81K","4.55%"
"Oct 10, 2019","2.60","2.77","2.79","2.47","52.99K","-6.48%"
"Oct 09, 2019","2.78","2.56","2.93","2.50","88.78K","8.84%"
"Oct 08, 2019","2.56","2.37","2.62","2.27","60.29K","7.70%"
"Oct 07, 2019","2.37","2.16","2.49","2.11","44.40K","9.92%"
"Oct 06, 2019","2.16","1.96","2.26","1.92","54.21K","10.37%"
"Oct 05, 2019","1.96","1.99","1.99","1.91","16.99K","-1.55%"
"Oct 04, 2019","1.99","1.94","1.99","1.89","19.30K","2.23%"
"Oct 03, 2019","1.94","2.03","2.04","1.89","36.86K","-4.07%"
"Oct 02, 2019","2.03","1.82","2.03","1.82","29.24K","11.36%"
"Oct 01, 2019","1.82","1.76","1.87","1.76","20.22K","3.61%"
"Sep 30, 2019","1.76","1.70","1.78","1.64","28.59K","3.02%"
"Sep 29, 2019","1.70","1.67","1.74","1.64","13.47K","1.92%"
"Sep 28, 2019","1.67","1.65","1.69","1.64","18.72K","1.08%"
"Sep 27, 2019","1.65","1.67","1.67","1.57","5.61K","-0.76%"
"Sep 26, 2019","1.67","1.73","1.75","1.53","14.52K","-3.69%"
"Sep 25, 2019","1.73","1.69","1.92","1.62","42.61K","2.24%"
"Sep 24, 2019","1.69","1.80","2.06","1.47","104.15K","-6.18%"
"Sep 23, 2019","1.80","1.80","1.87","1.78","20.92K","0.39%"
"Sep 22, 2019","1.80","1.86","1.88","1.78","9.70K","-3.31%"
"Sep 21, 2019","1.86","1.82","1.87","1.79","20.15K","2.01%"
"Sep 20, 2019","1.82","1.87","1.87","1.76","36.64K","-2.44%"
"Sep 19, 2019","1.87","1.81","1.90","1.73","131.95K","3.20%"
"Sep 18, 2019","1.81","1.63","1.84","1.63","56.08K","11.04%"
"Sep 17, 2019","1.63","1.58","1.67","1.56","19.97K","3.16%"
"Sep 16, 2019","1.58","1.61","1.64","1.54","21.66K","-1.86%"
"Sep 15, 2019","1.61","1.56","1.64","1.56","19.00K","3.05%"
"Sep 14, 2019","1.56","1.58","1.63","1.53","31.68K","-1.26%"
"Sep 13, 2019","1.58","1.70","1.71","1.52","37.51K","-7.16%"
"Sep 12, 2019","1.70","1.73","1.73","1.70","14.65K","-1.45%"
"Sep 11, 2019","1.73","1.79","1.82","1.71","8.54K","-3.45%"
"Sep 10, 2019","1.79","1.80","1.82","1.77","10.44K","0.00%"
"Sep 09, 2019","1.80","1.82","1.86","1.76","9.69K","-1.32%"
"Sep 08, 2019","1.82","1.76","1.90","1.76","13.47K","3.20%"
"Sep 07, 2019","1.76","1.73","1.83","1.71","20.04K","1.90%"
"Sep 06, 2019","1.73","1.80","1.83","1.69","24.33K","-3.74%"
"Sep 05, 2019","1.80","1.77","1.86","1.77","13.37K","0.00%"
"Sep 04, 2019","1.80","1.86","1.86","1.74","12.30K","-3.22%"
"Sep 03, 2019","1.86","1.81","1.93","1.81","26.27K","2.64%"
"Sep 02, 2019","1.81","1.77","1.88","1.73","13.93K","2.49%"
"Sep 01, 2019","1.77","1.79","1.79","1.72","6.24K","-0.88%"
"Aug 31, 2019","1.79","1.80","1.85","1.74","39.68K","-0.79%"
"Aug 30, 2019","1.80","1.78","1.88","1.75","19.50K","1.18%"
"Aug 29, 2019","1.78","1.89","1.89","1.75","24.45K","-5.88%"
"Aug 28, 2019","1.89","2.11","2.11","1.88","18.66K","-10.59%"
"Aug 27, 2019","2.11","2.07","2.17","2.01","7.63K","2.12%"
"Aug 26, 2019","2.07","2.09","2.16","2.05","12.05K","-0.83%"
"Aug 25, 2019","2.09","2.17","2.18","2.03","19.56K","-4.01%"
"Aug 24, 2019","2.17","2.23","2.25","2.15","9.61K","-2.68%"
"Aug 23, 2019","2.23","2.23","2.34","2.18","73.53K","0.00%"
"Aug 22, 2019","2.23","2.21","2.29","2.14","23.65K","1.15%"
"Aug 21, 2019","2.21","2.36","2.37","2.16","42.14K","-6.47%"
"Aug 20, 2019","2.36","2.50","2.53","2.35","21.89K","-5.68%"
"Aug 19, 2019","2.50","2.48","2.59","2.45","24.83K","0.92%"
"Aug 18, 2019","2.48","2.37","2.56","2.37","23.16K","4.54%"
"Aug 17, 2019","2.37","2.31","2.39","2.30","8.99K","2.58%"
"Aug 16, 2019","2.31","2.42","2.46","2.23","19.12K","-4.55%"
"Aug 15, 2019","2.42","2.26","2.44","2.17","32.52K","7.01%"
"Aug 14, 2019","2.26","2.41","2.59","2.18","62.36K","-6.14%"
"Aug 13, 2019","2.41","2.38","2.46","2.30","11.06K","1.12%"
"Aug 12, 2019","2.38","2.40","2.47","2.34","15.32K","-0.88%"
"Aug 11, 2019","2.40","2.34","2.48","2.29","55.42K","2.61%"
"Aug 10, 2019","2.34","2.16","2.40","2.14","51.23K","7.96%"
"Aug 09, 2019","2.17","2.31","2.31","2.16","16.27K","-5.96%"
"Aug 08, 2019","2.31","2.37","2.40","2.28","34.00K","-2.72%"
"Aug 07, 2019","2.37","2.47","2.49","2.36","40.18K","-3.86%"
"Aug 06, 2019","2.47","2.47","2.52","2.32","128.13K","0.00%"
"Aug 05, 2019","2.46","2.51","2.64","2.45","67.31K","-1.38%"
"Aug 04, 2019","2.50","2.41","2.59","2.38","142.98K","3.47%"
"Aug 03, 2019","2.41","2.43","2.72","2.34","238.72K","-0.40%"
"Aug 02, 2019","2.42","2.15","2.49","2.14","99.65K","12.14%"
"Aug 01, 2019","2.16","2.20","2.24","2.09","31.23K","-1.53%"
"Jul 31, 2019","2.20","2.07","2.24","2.07","29.45K","5.90%"
"Jul 30, 2019","2.07","2.14","2.18","1.98","54.39K","-2.91%"
"Jul 29, 2019","2.14","2.20","2.24","2.11","11.61K","-3.11%"
"Jul 28, 2019","2.20","2.24","2.27","2.11","22.22K","-1.51%"
"Jul 27, 2019","2.24","2.40","2.46","2.21","39.94K","-6.57%"
"Jul 26, 2019","2.40","2.37","2.42","2.33","8.79K","0.91%"
"Jul 25, 2019","2.37","2.40","2.50","2.37","15.93K","-1.30%"
"Jul 24, 2019","2.40","2.35","2.51","2.28","17.69K","2.51%"
"Jul 23, 2019","2.35","2.41","2.50","2.25","24.45K","-2.51%"
"Jul 22, 2019","2.41","2.53","2.58","2.38","27.27K","-4.97%"
"Jul 21, 2019","2.53","2.63","2.64","2.47","41.87K","-3.67%"
"Jul 20, 2019","2.63","2.59","2.73","2.58","21.16K","1.61%"
"Jul 19, 2019","2.59","2.67","2.73","2.51","28.35K","-2.97%"
"Jul 18, 2019","2.67","2.39","2.79","2.38","76.15K","11.76%"
"Jul 17, 2019","2.39","2.19","2.58","2.05","92.18K","8.80%"
"Jul 16, 2019","2.19","2.70","2.77","2.16","63.57K","-18.84%"
"Jul 15, 2019","2.70","2.78","2.83","2.60","44.80K","-2.81%"
"Jul 14, 2019","2.78","3.12","3.23","2.75","67.38K","-12.00%"
"Jul 13, 2019","3.16","3.16","3.30","3.03","73.06K","1.17%"
"Jul 12, 2019","3.12","2.76","3.30","2.60","65.20K","13.01%"
"Jul 11, 2019","2.76","3.10","3.13","2.70","88.25K","-10.94%"
"Jul 10, 2019","3.10","3.03","3.24","2.86","94.68K","1.57%"
"Jul 09, 2019","3.05","3.35","3.37","2.96","150.75K","-8.72%"
"Jul 08, 2019","3.35","3.26","3.55","3.25","57.22K","2.79%"
"Jul 07, 2019","3.26","3.45","3.49","3.26","54.49K","-5.77%"
"Jul 06, 2019","3.45","3.62","3.62","3.44","61.81K","-4.59%"
"Jul 05, 2019","3.62","3.46","3.73","3.43","126.54K","4.56%"
"Jul 04, 2019","3.46","3.50","3.60","3.25","174.69K","-1.07%"
"Jul 03, 2019","3.50","3.74","3.86","3.50","133.40K","-6.46%"
"Jul 02, 2019","3.74","3.64","3.99","3.21","258.99K","2.74%"
"Jul 01, 2019","3.64","3.40","3.86","2.91","212.17K","7.24%"
"Jun 30, 2019","3.40","3.78","4.25","3.23","398.37K","-11.29%"
"Jun 29, 2019","3.83","3.06","4.66","3.00","626.50K","25.23%"
"Jun 28, 2019","3.06","2.30","3.10","2.21","129.71K","33.14%"
"Jun 27, 2019","2.30","2.28","2.54","2.11","195.54K","0.99%"
"Jun 26, 2019","2.27","2.18","2.42","2.03","252.27K","4.22%"
"Jun 25, 2019","2.18","1.87","2.50","1.86","250.43K","16.74%"
"Jun 24, 2019","1.87","1.81","1.87","1.79","33.97K","3.20%"
"Jun 23, 2019","1.81","1.84","1.90","1.77","34.37K","-1.38%"
"Jun 22, 2019","1.84","1.70","1.93","1.69","90.32K","8.29%"
"Jun 21, 2019","1.70","1.77","1.79","1.62","107.57K","-3.96%"
"Jun 20, 2019","1.77","1.84","1.89","1.70","71.71K","-4.07%"
"Jun 19, 2019","1.84","1.82","1.91","1.79","58.48K","1.32%"
"Jun 18, 2019","1.82","1.97","2.03","1.77","133.59K","-7.73%"
"Jun 17, 2019","1.97","1.67","2.08","1.65","233.62K","17.84%"
"Jun 16, 2019","1.67","1.71","1.80","1.60","98.67K","-2.24%"
"Jun 15, 2019","1.71","1.63","1.81","1.60","215.58K","4.76%"
"Jun 14, 2019","1.63","1.85","1.90","1.50","554.79K","-11.93%"
"Jun 13, 2019","1.85","1.15","1.99","1.12","399.34K","61.72%"
"Jun 12, 2019","1.15","1.12","1.16","1.08","39.50K","2.33%"
"Jun 11, 2019","1.12","1.21","1.21","1.10","34.25K","-7.47%"
"Jun 10, 2019","1.21","1.06","1.21","1.04","34.07K","14.30%"
"Jun 09, 2019","1.06","1.14","1.15","1.01","28.95K","-7.22%"
"Jun 08, 2019","1.14","1.18","1.19","1.12","33.08K","-3.13%"
"Jun 07, 2019","1.18","1.11","1.25","1.07","98.03K","6.19%"
"Jun 06, 2019","1.11","1.09","1.26","1.06","161.58K","1.25%"
"Jun 05, 2019","1.10","0.88","1.10","0.88","78.06K","24.58%"
"Jun 04, 2019","0.88","0.92","0.93","0.85","34.17K","-3.99%"
"Jun 03, 2019","0.92","1.02","1.02","0.90","37.09K","-10.61%"
"Jun 02, 2019","1.02","0.95","1.05","0.94","82.84K","7.35%"
"Jun 01, 2019","0.95","1.02","1.05","0.95","29.84K","-6.34%"
"May 31, 2019","1.02","1.01","1.04","0.93","87.24K","0.88%"
"May 30, 2019","1.01","1.17","1.22","0.93","97.80K","-13.65%"
"May 29, 2019","1.17","1.28","1.28","1.15","72.98K","-8.62%"
"May 28, 2019","1.28","1.22","1.34","1.15","110.85K","5.29%"
"May 27, 2019","1.22","1.08","1.25","1.08","132.73K","12.18%"
"May 26, 2019","1.08","1.11","1.18","1.04","92.20K","-2.71%"
"May 25, 2019","1.11","1.31","1.33","1.10","93.99K","-15.17%"
"May 24, 2019","1.31","1.34","1.43","1.20","101.62K","-1.88%"
"May 23, 2019","1.34","1.22","1.39","1.15","86.71K","9.69%"
"May 22, 2019","1.22","1.20","1.47","1.14","133.28K","2.02%"
"May 21, 2019","1.20","1.12","1.23","1.06","57.31K","7.07%"
"May 20, 2019","1.12","1.02","1.17","0.96","28.09K","9.79%"
"May 19, 2019","1.02","0.94","1.11","0.94","62.09K","8.73%"
"May 18, 2019","0.94","0.88","0.96","0.86","18.65K","6.80%"
"May 17, 2019","0.88","0.92","0.98","0.82","47.88K","-5.25%"
"May 16, 2019","0.92","0.85","0.93","0.74","47.94K","8.98%"
"May 15, 2019","0.85","0.78","0.88","0.78","75.11K","6.46%"
"May 14, 2019","0.80","0.67","0.98","0.64","114.29K","19.59%"
"May 13, 2019","0.67","0.65","0.69","0.65","8.74K","2.16%"
"May 12, 2019","0.65","0.69","0.70","0.63","13.86K","-4.96%"
"May 11, 2019","0.69","0.69","0.76","0.65","48.50K","0.00%"
"May 10, 2019","0.69","0.68","0.76","0.65","62.76K","1.16%"
"May 09, 2019","0.68","0.59","0.75","0.59","70.85K","14.46%"
"May 08, 2019","0.59","0.55","0.62","0.53","22.96K","8.29%"
"May 07, 2019","0.55","0.58","0.61","0.55","13.97K","-4.78%"
"May 06, 2019","0.58","0.50","0.59","0.50","17.48K","14.48%"
"May 05, 2019","0.50","0.50","0.50","0.49","1.53K","0.00%"
"May 04, 2019","0.50","0.52","0.52","0.49","6.58K","-4.02%"
"May 03, 2019","0.52","0.46","0.52","0.46","3.18K","12.76%"
"May 02, 2019","0.46","0.48","0.48","0.46","3.95K","-3.00%"
"May 01, 2019","0.48","0.46","0.49","0.46","15.82K","2.74%"
"Apr 30, 2019","0.46","0.42","0.47","0.42","2.68K","10.21%"
"Apr 29, 2019","0.42","0.45","0.45","0.42","1.29K","-6.14%"
"Apr 28, 2019","0.45","0.45","0.46","0.44","4.17K","0.00%"
"Apr 27, 2019","0.45","0.43","0.46","0.43","4.14K","6.34%"
"Apr 26, 2019","0.43","0.45","0.45","0.43","3.04K","-5.40%"
"Apr 25, 2019","0.45","0.47","0.49","0.45","7.46K","-4.21%"
"Apr 24, 2019","0.47","0.49","0.53","0.43","9.04K","-3.15%"
"Apr 23, 2019","0.49","0.49","0.50","0.48","7.52K","-1.36%"
"Apr 22, 2019","0.49","0.49","0.60","0.49","39.64K","0.00%"
"Apr 21, 2019","0.49","0.50","0.51","0.40","1.26K","-2.50%"
"Apr 20, 2019","0.50","0.52","0.53","0.50","0.48K","-2.42%"
"Apr 19, 2019","0.52","0.52","0.52","0.52","1.33K","0.00%"
"Apr 18, 2019","0.52","0.50","0.52","0.50","0.27K","3.43%"
"Apr 17, 2019","0.50","0.51","0.51","0.48","7.40K","-1.67%"
"Apr 16, 2019","0.51","0.50","0.51","0.49","6.03K","2.82%"
"Apr 15, 2019","0.50","0.52","0.53","0.48","21.78K","-5.45%"
"Apr 14, 2019","0.52","0.53","0.54","0.51","10.03K","-1.15%"
"Apr 13, 2019","0.53","0.51","0.54","0.50","11.43K","5.03%"
"Apr 12, 2019","0.51","0.49","0.51","0.46","22.47K","2.93%"
"Apr 11, 2019","0.49","0.52","0.52","0.47","28.31K","-5.45%"
"Apr 10, 2019","0.52","0.53","0.54","0.51","3.53K","-2.61%"
"Apr 09, 2019","0.53","0.55","0.55","0.49","5.58K","-2.56%"
"Apr 08, 2019","0.55","0.58","0.61","0.49","10.46K","-3.87%"
"Apr 07, 2019","0.57","0.58","0.58","0.56","5.04K","-1.51%"
"Apr 06, 2019","0.58","0.56","0.59","0.56","7.40K","2.41%"
"Apr 05, 2019","0.56","0.54","0.58","0.54","6.88K","5.26%"
"Apr 04, 2019","0.54","0.56","0.58","0.52","15.65K","-3.70%"
"Apr 03, 2019","0.56","0.58","0.60","0.56","9.70K","-4.33%"
"Apr 02, 2019","0.58","0.56","0.59","0.51","9.28K","4.49%"
"Apr 01, 2019","0.56","0.51","0.56","0.50","12.67K","9.39%"
"Mar 31, 2019","0.51","0.49","0.54","0.49","13.48K","3.48%"
"Mar 30, 2019","0.49","0.49","0.50","0.48","3.82K","0.00%"
"Mar 29, 2019","0.49","0.49","0.50","0.49","4.84K","0.00%"
"Mar 28, 2019","0.49","0.49","0.51","0.48","5.93K","1.31%"
"Mar 27, 2019","0.49","0.46","0.50","0.45","2.61K","6.42%"
"Mar 26, 2019","0.46","0.47","0.49","0.45","4.50K","-3.09%"
"Mar 25, 2019","0.47","0.45","0.48","0.44","8.41K","3.92%"
"Mar 24, 2019","0.45","0.46","0.47","0.45","1.49K","0.00%"
"Mar 23, 2019","0.46","0.46","0.50","0.46","2.24K","-1.34%"
"Mar 22, 2019","0.46","0.46","0.46","0.44","5.92K","0.00%"
"Mar 21, 2019","0.46","0.48","0.48","0.44","3.42K","-3.80%"
"Mar 20, 2019","0.48","0.49","0.50","0.47","1.60K","0.00%"
"Mar 19, 2019","0.49","0.47","0.49","0.47","0.70K","2.32%"
"Mar 18, 2019","0.47","0.48","0.48","0.46","2.15K","-1.08%"
"Mar 17, 2019","0.48","0.47","0.50","0.47","3.49K","0.00%"
"Mar 16, 2019","0.47","0.48","0.49","0.47","2.57K","-1.51%"
"Mar 15, 2019","0.48","0.49","0.51","0.48","1.01K","-1.09%"
"Mar 14, 2019","0.49","0.48","0.49","0.47","6.92K","0.00%"
"Mar 13, 2019","0.48","0.53","0.53","0.47","3.18K","-8.07%"
"Mar 12, 2019","0.53","0.46","0.53","0.45","14.33K","14.46%"
"Mar 11, 2019","0.46","0.50","0.51","0.46","13.10K","-8.65%"
"Mar 10, 2019","0.50","0.47","0.54","0.47","14.40K","7.37%"
"Mar 09, 2019","0.47","0.47","0.48","0.45","8.83K","0.00%"
"Mar 08, 2019","0.47","0.47","0.50","0.46","15.81K","0.00%"
"Mar 07, 2019","0.47","0.43","0.47","0.42","2.92K","7.49%"
"Mar 06, 2019","0.43","0.42","0.44","0.42","1.73K","3.88%"
"Mar 05, 2019","0.42","0.42","0.43","0.40","4.12K","0.00%"
"Mar 04, 2019","0.42","0.43","0.43","0.40","1.31K","-2.28%"
"Mar 03, 2019","0.43","0.42","0.43","0.42","1.00K","1.77%"
"Mar 02, 2019","0.42","0.43","0.43","0.42","2.77K","-2.17%"
"Mar 01, 2019","0.43","0.43","0.44","0.42","3.25K","0.00%"
"Feb 28, 2019","0.43","0.42","0.44","0.42","2.03K","0.00%"
"Feb 27, 2019","0.42","0.44","0.44","0.42","0.81K","-3.48%"
"Feb 26, 2019","0.44","0.47","0.47","0.43","4.00K","-5.53%"
"Feb 25, 2019","0.47","0.40","0.47","0.40","4.80K","14.84%"
"Feb 24, 2019","0.40","0.46","0.46","0.40","10.66K","-11.88%"
"Feb 23, 2019","0.46","0.45","0.46","0.45","3.14K","3.07%"
"Feb 22, 2019","0.45","0.45","0.45","0.44","3.28K","0.00%"
"Feb 21, 2019","0.45","0.46","0.48","0.44","21.79K","-2.84%"
"Feb 20, 2019","0.46","0.47","0.47","0.45","7.17K","-1.37%"
"Feb 19, 2019","0.47","0.47","0.47","0.47","2.99K","0.00%"
"Feb 18, 2019","0.47","0.45","0.48","0.45","7.59K","4.58%"
"Feb 17, 2019","0.45","0.44","0.47","0.42","5.40K","2.86%"
"Feb 16, 2019","0.44","0.44","0.44","0.43","7.23K","0.00%"
"Feb 15, 2019","0.44","0.43","0.44","0.42","8.37K","2.43%"
"Feb 14, 2019","0.43","0.44","0.45","0.43","5.13K","-2.46%"
"Feb 13, 2019","0.44","0.43","0.44","0.42","11.19K","1.44%"
"Feb 12, 2019","0.43","0.43","0.43","0.42","1.46K","0.00%"
"Feb 11, 2019","0.43","0.45","0.45","0.42","14.24K","-4.75%"
"Feb 10, 2019","0.45","0.47","0.48","0.45","7.78K","-3.56%"
"Feb 09, 2019","0.47","0.45","0.49","0.43","24.68K","4.90%"
"Feb 08, 2019","0.45","0.40","0.45","0.40","11.60K","10.51%"
"Feb 07, 2019","0.40","0.40","0.42","0.39","5.26K","0.00%"
"Feb 06, 2019","0.40","0.42","0.42","0.39","6.39K","-4.27%"
"Feb 05, 2019","0.42","0.39","0.43","0.39","6.40K","6.20%"
"Feb 04, 2019","0.39","0.39","0.40","0.38","6.64K","2.36%"
"Feb 03, 2019","0.39","0.41","0.41","0.39","7.15K","-5.37%"
"Feb 02, 2019","0.41","0.41","0.43","0.40","10.13K","0.00%"
"Feb 01, 2019","0.41","0.40","0.42","0.38","21.78K","2.31%"
"Jan 31, 2019","0.40","0.41","0.42","0.39","13.73K","-3.91%"
"Jan 30, 2019","0.41","0.45","0.47","0.41","17.79K","-8.38%"
"Jan 29, 2019","0.45","0.40","0.46","0.40","65.93K","11.91%"
