"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2020","13.07","12.52","13.07","12.52","20.58K","4.45%"
"Nov 27, 2020","12.52","12.55","12.74","12.07","28.38K","-0.28%"
"Nov 26, 2020","12.55","14.23","14.23","12.37","108.80K","-11.80%"
"Nov 25, 2020","14.23","15.69","15.69","14.23","35.19K","-9.29%"
"Nov 24, 2020","15.69","15.25","15.80","15.22","45.27K","2.84%"
"Nov 23, 2020","15.25","14.53","15.25","14.35","19.51K","4.98%"
"Nov 22, 2020","14.53","15.42","15.42","14.33","31.69K","-5.77%"
"Nov 21, 2020","15.42","14.09","15.42","14.09","30.64K","9.41%"
"Nov 20, 2020","14.09","13.61","14.11","13.61","19.68K","3.52%"
"Nov 19, 2020","13.61","13.58","13.64","13.16","24.39K","0.26%"
"Nov 18, 2020","13.58","13.39","13.90","13.39","62.40K","1.58%"
"Nov 17, 2020","13.37","12.63","13.37","12.63","25.16K","5.80%"
"Nov 16, 2020","12.63","12.14","12.63","12.14","11.81K","4.04%"
"Nov 15, 2020","12.14","12.57","12.60","11.91","10.47K","-3.04%"
"Nov 14, 2020","12.52","12.91","12.91","12.52","10.74K","-3.00%"
"Nov 13, 2020","12.91","12.43","12.91","12.43","18.48K","4.30%"
"Nov 12, 2020","12.38","12.76","12.87","12.30","22.16K","-3.05%"
"Nov 11, 2020","12.77","13.00","13.29","12.77","18.00K","-1.80%"
"Nov 10, 2020","13.00","12.52","13.00","12.35","25.19K","3.83%"
"Nov 09, 2020","12.52","12.78","12.78","12.34","32.44K","-2.01%"
"Nov 08, 2020","12.78","11.74","12.78","11.74","25.78K","8.87%"
"Nov 07, 2020","11.74","12.18","13.00","11.74","67.24K","-3.59%"
"Nov 06, 2020","12.18","10.96","12.18","10.96","17.32K","11.07%"
"Nov 05, 2020","10.96","10.45","11.25","10.23","31.40K","4.92%"
"Nov 04, 2020","10.45","10.40","10.59","10.16","18.04K","0.46%"
"Nov 03, 2020","10.40","10.80","10.80","10.40","41.66K","-3.74%"
"Nov 02, 2020","10.80","11.53","11.60","10.80","20.43K","-6.26%"
"Nov 01, 2020","11.53","11.18","11.53","11.12","11.35K","3.06%"
"Oct 31, 2020","11.18","11.09","11.31","11.09","7.79K","0.89%"
"Oct 30, 2020","11.09","11.27","11.27","10.98","24.39K","-1.64%"
"Oct 29, 2020","11.27","11.45","11.60","11.27","28.45K","-1.52%"
"Oct 28, 2020","11.45","12.00","12.00","11.45","21.42K","-4.60%"
"Oct 27, 2020","12.00","11.72","12.00","11.72","19.93K","2.38%"
"Oct 26, 2020","11.72","12.16","12.24","11.72","23.31K","-3.63%"
"Oct 25, 2020","12.16","12.68","12.68","12.16","20.71K","-4.11%"
"Oct 24, 2020","12.68","12.15","12.71","12.15","29.76K","4.36%"
"Oct 23, 2020","12.15","11.99","12.15","11.96","20.52K","1.36%"
"Oct 22, 2020","11.99","10.77","12.00","10.77","50.90K","10.78%"
"Oct 21, 2020","10.82","9.85","10.93","9.85","24.04K","9.86%"
"Oct 20, 2020","9.85","10.90","10.90","9.85","25.06K","-9.64%"
"Oct 19, 2020","10.90","10.87","10.94","10.70","15.85K","0.28%"
"Oct 18, 2020","10.87","10.65","10.87","10.65","8.54K","2.21%"
"Oct 17, 2020","10.64","10.55","10.71","10.47","5.05K","0.82%"
"Oct 16, 2020","10.55","10.72","10.83","10.49","14.82K","-1.61%"
"Oct 15, 2020","10.72","10.92","10.92","10.59","15.16K","-1.86%"
"Oct 14, 2020","10.92","11.02","11.20","10.92","7.86K","-0.69%"
"Oct 13, 2020","11.00","11.42","11.42","11.00","21.30K","-3.72%"
"Oct 12, 2020","11.42","10.84","11.55","10.84","21.40K","5.41%"
"Oct 11, 2020","10.84","10.52","10.84","10.40","17.43K","3.07%"
"Oct 10, 2020","10.52","10.39","10.72","10.39","48.31K","1.20%"
"Oct 09, 2020","10.39","9.53","10.39","9.45","43.83K","8.98%"
"Oct 08, 2020","9.53","8.94","9.53","8.81","20.21K","6.58%"
